[COT 2024-02-07 16:24:34] 76561198036774377: Set rain to 0 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set storm to 0 0.8 4000
[COT 2024-02-07 16:24:34] 76561198036774377: Set fog to 0.395138 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set overcast to 0.485823 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set the date to 2012/1/1 8:38
[COT 2024-02-07 16:24:34] 76561198036774377: Set wind to 4.47852 4.47852 1
[COT 2024-02-07 16:24:41] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:24:42] 76561198036774377: Set Invisibility To 1 [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:24:43] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:25:04] 76561198036774377: Teleported to position <4528.204590, 332.675537, 6930.473145>
[COT 2024-02-07 16:27:30] 76561198036774377: ESP: ESP updating
[COT 2024-02-07 16:29:59] 76561198036774377: Spawned Entity Land Rover Defender (Expansion_Landrover<1055a860>, 100, 3000, 0) at <4458.158691, 326.779480, 6979.137207>
[COT 2024-02-07 16:30:38] 76561198036774377: Spawned Entity Camo Net (CamoNet<7f396d50>, 100, 120, 0) at <4457.643555, 326.840881, 6976.352539>
[COT 2024-02-07 16:30:38] 76561198036774377: Spawned Entity Camo Net (CamoNet<b5e7a7b0>, 100, 120, 0) at <4457.613281, 326.981262, 6976.207520>
[COT 2024-02-07 16:31:43] 76561198036774377: Spawned Entity MVS Heavy - Snow (ModularVestSystem_Heavy<9213f150>, 1000, 300, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:31:49] 76561198036774377: Spawned Entity MVS - Snow (ModularVestSystem_Base<921506d0>, 1000, 225, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:31:53] 76561198036774377: Spawned Entity MVS Magazine Pouch - Snow (MVS_Pouch_Base<92175480>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:31:53] 76561198036774377: Spawned Entity MVS Magazine Pouch - Snow (MVS_Pouch_Base<92173d60>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:03] 76561198036774377: Spawned Entity MVS Admin Pouch - Snow (MVS_Pouch_Base<8be9a010>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:03] 76561198036774377: Spawned Entity MVS Admin Pouch - Snow (MVS_Pouch_Base<8be99480>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:13] 76561198036774377: Spawned Entity MVS Combat Helmet - Snow (Mich2001Helmet<a11e0ea0>, 1000, 50, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:20] 76561198036774377: Spawned Entity MVS Combat Helmet - Snow (Mich2001Helmet<a11e0310>, 1000, 50, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:35] 76561198036774377: Spawned Entity MVS Compact Pack 1 - Snow (MountainBag_ColorBase<9ad7dc00>, 1000, 300, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:38] 76561198036774377: Spawned Entity MVS Compact Pack 2 - Snow (MountainBag_ColorBase<9ad91fc0>, 1000, 300, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:51] 76561198036774377: Spawned Entity MVS Facemask - Snow (BalaclavaMask_ColorBase<9b28bcb0>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:32:54] 76561198036774377: Spawned Entity MVS Balaclava - Snow (BalaclavaMask_ColorBase<9b2a8b30>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:33:00] 76561198036774377: Spawned Entity MVS Combat Pants - Snow (BDUPants<9b2a96c0>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:33:00] 76561198036774377: Spawned Entity MVS Combat Pants - Snow (BDUPants<9b2a3a40>, 1000, 100, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:33:05] 76561198036774377: Spawned Entity MVS Gorka Top - Snow (GorkaEJacket_Flat<9b2af340>, 1000, 130, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:33:05] 76561198036774377: Spawned Entity MVS Gorka Top - Snow (GorkaEJacket_Flat<9b2b4430>, 1000, 130, 0) at <4457.646484, 326.851135, 6976.464844>
[COT 2024-02-07 16:41:00] 76561198036774377: Spawned Entity NBC Gloves (NBCGlovesGray<97793d60>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:01] 76561198036774377: Spawned Entity NBC Gloves (NBCGloves_ColorBase<97795480>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:02] 76561198036774377: Spawned Entity NBC Hood (NBCHoodGray<942aab20>, 100, 25, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:04] 76561198036774377: Spawned Entity NBC Hood (NBCHoodYellow<942a8870>, 100, 25, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:05] 76561198036774377: Spawned Entity NBC Pants (NBCPantsGray<942a4310>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
